Year,N_y_A,N_m_A,N_o_A,psi_y_A,psi_o_A,n_m_A,psi_y_A_s,psi_o_A_s,n_m_A_s,gamma_A_path,phi_A_path
2063,NaN,NaN,NaN,0.106555020049273,0.683920531376502,-0.00668565654165604,0.106081829258722,0.680807449335257,-0.00725755876865851,0.96491255628352,0.0208804765057918
2064,NaN,NaN,NaN,0.106974452747507,0.687064494622026,-0.00631176374454817,0.106556480873772,0.686438398732946,-0.0069706671129676,0.964521563039563,0.0209482477098944
2065,NaN,NaN,NaN,0.107551184956024,0.69426157554266,-0.00646609595092845,0.106945985093608,0.691466370782054,-0.00674119199667161,0.96411428095945,0.0209798569758014
2066,NaN,NaN,NaN,0.107900068290787,0.702326908528318,-0.00599603570453677,0.107237680211082,0.69594492332139,-0.00658326640685879,0.963695937566714,0.0209749179185122
2067,NaN,NaN,NaN,0.108044695419116,0.707315748483505,-0.00569757413417335,0.107424798726794,0.699958235233768,-0.00650707296318695,0.963299728844093,0.0209356335545575
2068,NaN,NaN,NaN,0.108037992364025,0.710592256934632,-0.00568673929249774,0.107507096119247,0.703650553851222,-0.00651701395251245,0.963007247352352,0.0208666318924087
2069,NaN,NaN,NaN,0.107747990319174,0.705356037518285,-0.00597384674060961,0.107490511151614,0.707238102501226,-0.00660965411846201,0.962926127970557,0.0207743591564872
2070,NaN,NaN,NaN,0.107313001643708,0.701417051677785,-0.00654149214350033,0.107386034709691,0.710993067912936,-0.00677353395407834,0.963151065839432,0.0206662428360997
2071,NaN,NaN,NaN,0.107016254247691,0.705583856008983,-0.00653812468127604,0.107207162359155,0.715170528106613,-0.00699112400967349,0.963681241320426,0.0205488360246247
2072,NaN,NaN,NaN,0.107153979952817,0.712050654659185,-0.00755303467114077,0.106967009933012,0.719941768506523,-0.00724149925652153,0.964424963863059,0.0204266785227854
2073,NaN,NaN,NaN,0.106661859972572,0.719476654346212,-0.00825441856523507,0.10667759950081,0.725384111879572,-0.00750081799298483,0.965276871104421,0.0203038222966165
2074,NaN,NaN,NaN,0.106338228742217,0.72742624142247,-0.00874274577487713,0.106351864297823,0.731495657785559,-0.00774784246170577,0.966147635701132,0.0201857872070865
2075,NaN,NaN,NaN,0.105952075438603,0.735823110495511,-0.00855961316821446,0.106002923378096,0.738214589352727,-0.00796860904845265,0.966966841659187,0.0200767360854445
2076,NaN,NaN,NaN,0.105542537597491,0.744859242621353,-0.00857678678140938,0.105643691873638,0.745437714958744,-0.008158117468867,0.967681155070019,0.0199794995230113
2077,NaN,NaN,NaN,0.105278951716493,0.75429447937398,-0.00829027904441626,0.105286549257216,0.753037914018095,-0.00831772701620778,0.96825574522532,0.0198958509831053
2078,NaN,NaN,NaN,0.10475635940862,0.761470928232956,-0.0080327250259041,0.104943095434955,0.760882259879862,-0.00845256505342781,0.968677458998033,0.01982681768811
2079,NaN,NaN,NaN,0.104407670761233,0.768214795755134,-0.00811648314470101,0.104624394487281,0.768846304777702,-0.00856757213775238,0.968953013459773,0.0197735410921789
2080,NaN,NaN,NaN,0.103955271626632,0.776068379487847,-0.00835450022592116,0.104339875367732,0.776810617325317,-0.00866405600304829,0.969088726840502,0.0197363532543703
2081,NaN,NaN,NaN,0.103902605734614,0.783941240740232,-0.00897365677035458,0.104096545759355,0.784651255015913,-0.00873905880780044,0.969083229251815,0.0197149396300888
2082,NaN,NaN,NaN,0.104054704989089,0.792513579596927,-0.00869970000910253,0.103898132067896,0.792237018651368,-0.00878717369679168,0.968934274302578,0.0197079245271593
2083,NaN,NaN,NaN,0.104099562935202,0.802410614482832,-0.00870604164295866,0.103746670815402,0.799431143824817,-0.00880390519929209,0.968640709478031,0.0197147893064846
2084,NaN,NaN,NaN,0.103714047796962,0.81156214765299,-0.00965514505005335,0.103645520483145,0.806102549126303,-0.00878439898877285,0.968215247414135,0.0197377202255005
2085,NaN,NaN,NaN,0.103341968390934,0.815759024202949,-0.00878713561535113,0.103600794886932,0.812149873755472,-0.00872446036521738,0.967698595193318,0.0197805174716199
2086,NaN,NaN,NaN,0.103064674740265,0.819739111844441,-0.00908111565034206,0.103619227665599,0.817519613839939,-0.00862569899887661,0.967146534288291,0.0198448034877136
2087,NaN,NaN,NaN,0.102926702661816,0.824118817699602,-0.00864421982534916,0.103704991293679,0.822195497322672,-0.00849237921271746,0.966598339654189,0.0199289070488824
2088,NaN,NaN,NaN,0.103485110337751,0.828131894836821,-0.00809020347999878,0.103856777897509,0.826185512185096,-0.00833219324632071,0.966073856432875,0.0200274301191836
2089,NaN,NaN,NaN,0.10384577482157,0.831393304786318,-0.00791352839207049,0.104066479308791,0.829517611328102,-0.00815421513949551,0.965586462722438,0.0201324765296905
2090,NaN,NaN,NaN,0.104545797029384,0.833044838129918,-0.00784769830551327,0.104321802740781,0.832239250252654,-0.00796573979871756,0.965151116747289,0.0202376189577815
2091,NaN,NaN,NaN,0.104879709386121,0.834610914508771,-0.0078070583391559,0.104608720573028,0.834415148339112,-0.00777183523105309,0.964782916749203,0.0203382766403783
2092,NaN,NaN,NaN,0.105079705266738,0.83594821456716,-0.00757527911683228,0.104914798217878,0.836118937107797,-0.00757642865297548,0.964488891695346,0.0204329422761169
2093,NaN,NaN,NaN,0.105520331311739,0.837093811500097,-0.00727964728640371,0.105230080644227,0.837426635166598,-0.00738348381530673,0.964268925600705,0.0205212774726038
2094,NaN,NaN,NaN,0.105814554030835,0.838173031615594,-0.00711171103097924,0.105546668153755,0.838412880740139,-0.00719684121707528,0.964119031397277,0.0206030010266797
2095,NaN,NaN,NaN,0.105998487091663,0.838591157215224,-0.00682976524141876,0.105859344205715,0.839149379618143,-0.00701949686936703,0.964034536851894,0.0206789303474654
2096,NaN,NaN,NaN,0.106241445217764,0.838521991539553,-0.00660468754324126,0.106165419089427,0.839704722367155,-0.00685337929353519,0.964011804165684,0.0207503518399786
2097,NaN,NaN,NaN,0.106648160825664,0.838369733117598,-0.00654520004714859,0.106463719059786,0.840141345564556,-0.00669857736708081,0.964045541485063,0.0208182283293348
2098,NaN,NaN,NaN,0.106936803143504,0.839353708053951,-0.00658024678834548,0.106754127087449,0.840509798989476,-0.00655292765109236,0.964125862109978,0.0208835997683608
2099,NaN,NaN,NaN,0.107020534445178,0.839617597695282,-0.00657692171599339,0.107038203700732,0.840844764960524,-0.00641286118158634,0.964239257153165,0.020948480889314
2100,NaN,NaN,NaN,0.106999226942848,0.840220387798673,-0.00646707478594835,0.107319020331545,0.841168092221467,-0.00627501094704301,0.964375098740781,0.0210150293435525
